Wall time,Step,Value
1639215120.9388933,1,nan
1639215124.935726,11,nan
1639215127.5164897,21,nan
1639215130.1263015,31,nan
1639215132.6410356,41,nan
1639215135.2506363,51,nan
1639215137.823471,61,nan
1639215140.453519,71,nan
1639215143.1210227,81,nan
1639215145.7937543,91,nan
1639215148.4559703,101,nan
1639215151.1788998,111,nan
1639215153.8972182,121,nan
1639215156.5528169,131,nan
1639215159.1404264,141,nan
1639215161.802903,151,nan
1639215164.4671485,161,nan
1639215167.1444848,171,nan
1639215170.1139555,181,nan
1639215172.8132231,191,nan
1639215175.9878178,201,nan
1639215179.4158776,211,nan
1639215181.978144,221,nan
1639215184.56422,231,nan
1639215187.1109295,241,nan
1639215189.6635213,251,nan
1639215192.1778862,261,nan
1639215195.3256922,271,nan
1639215198.1509771,281,nan
1639215201.0114274,291,nan
1639215204.0085595,301,nan
1639215206.889128,311,nan
1639215209.541501,321,nan
1639215212.2828002,331,nan
1639215215.0508344,341,nan
1639215217.7928133,351,nan
1639215220.3603787,361,nan
1639215222.9363744,371,nan
1639215225.5732884,381,nan
1639215228.2572272,391,nan
1639215230.896689,401,nan
1639215233.5697513,411,nan
1639215236.2318258,421,nan
1639215238.8480654,431,nan
1639215241.4294555,441,nan
1639215244.1802034,451,nan
1639215246.8441353,461,nan
1639215249.5320783,471,nan
1639215252.2507272,481,nan
1639215255.200073,491,nan
1639215258.0998626,501,nan
1639215261.5845425,511,nan
1639215264.8423145,521,nan
1639215269.0850582,531,nan
1639215272.6300213,541,nan
1639215276.3049362,551,nan
1639215280.3814468,561,nan
1639215284.273922,571,nan
1639215288.4023867,581,nan
1639215292.3741367,591,nan
1639215296.4160483,601,nan
1639215300.84784,611,nan
1639215304.8750296,621,nan
1639215309.006523,631,nan
1639215313.0003486,641,nan
1639215317.1466632,651,nan
1639215321.2292964,661,nan
1639215325.3688047,671,nan
1639215329.4749115,681,nan
1639215334.076217,691,nan
1639215338.0649877,701,nan
1639215342.2657206,711,nan
1639215346.0475585,721,nan
1639215350.1351814,731,nan
1639215354.1922097,741,nan
1639215358.2860346,751,nan
1639215362.3848202,761,nan
1639215366.7746458,771,nan
1639215370.8030608,781,nan
1639215375.1456144,791,nan
1639215379.28556,801,nan
1639215383.4815958,811,nan
1639215387.8137524,821,nan
1639215392.0001676,831,nan
1639215396.3206286,841,nan
1639215400.5607972,851,nan
1639215404.7510145,861,nan
1639215409.6056712,871,nan
1639215413.7920585,881,nan
1639215418.0280674,891,nan
1639215422.598583,901,nan
1639215426.9597924,911,nan
1639215431.2521844,921,nan
1639215435.483455,931,nan
1639215439.6229796,941,nan
1639215444.178502,951,nan
1639215448.410185,961,nan
1639215452.7809284,971,nan
1639215456.951795,981,nan
1639215461.3424091,991,nan
1639215465.6783326,1001,nan
1639215470.0779483,1011,nan
1639215474.275303,1021,nan
1639215478.7731586,1031,nan
1639215483.1499498,1041,nan
1639215487.490103,1051,nan
1639215491.6934173,1061,nan
1639215496.1775599,1071,nan
1639215500.3787131,1081,nan
1639215504.8971443,1091,nan
1639215509.1367292,1101,nan
1639215513.270967,1111,nan
1639215517.63553,1121,nan
1639215521.9278045,1131,nan
1639215526.1429617,1141,nan
1639215530.4818678,1151,nan
1639215534.8145688,1161,nan
1639215539.1081705,1171,nan
1639215543.3944855,1181,nan
1639215547.8422587,1191,nan
1639215551.959759,1201,nan
1639215556.5663557,1211,nan
1639215560.800036,1221,nan
1639215565.1308067,1231,nan
1639215569.5256789,1241,nan
1639215573.807046,1251,nan
1639215578.1296747,1261,nan
1639215582.6365845,1271,nan
1639215586.9663267,1281,nan
1639215591.379781,1291,nan
1639215595.4101386,1301,nan
1639215599.8971894,1311,nan
1639215604.2124417,1321,nan
1639215608.76154,1331,nan
1639215613.0974708,1341,nan
1639215617.8562834,1351,nan
1639215622.1792028,1361,nan
1639215626.5382087,1371,nan
1639215630.8647418,1381,nan
1639215635.1573322,1391,nan
1639215639.3875022,1401,nan
1639215643.561799,1411,nan
1639215647.8805268,1421,nan
1639215652.638152,1431,nan
1639215656.956331,1441,nan
1639215661.1506627,1451,nan
1639215665.324849,1461,nan
1639215669.636537,1471,nan
1639215673.8580189,1481,nan
1639215678.1166022,1491,nan
1639215682.4071584,1501,nan
1639215686.5949836,1511,nan
1639215690.7833204,1521,nan
1639215694.8954966,1531,nan
1639215699.1795185,1541,nan
1639215703.3539114,1551,nan
1639215707.6356301,1561,nan
1639215711.8533895,1571,nan
1639215716.0919588,1581,nan
1639215720.5686574,1591,nan
1639215724.5106194,1601,nan
1639215728.1432698,1611,nan
1639215732.2569056,1621,nan
1639215736.4753993,1631,nan
1639215740.7053843,1641,nan
1639215744.8874488,1651,nan
1639215749.202355,1661,nan
1639215753.4104815,1671,nan
1639215757.595924,1681,nan
1639215762.0943627,1691,nan
1639215766.329198,1701,nan
1639215770.562998,1711,nan
1639215774.6553867,1721,nan
1639215779.465719,1731,nan
1639215783.8802335,1741,nan
1639215788.3874397,1751,nan
1639215792.3678453,1761,nan
1639215796.5818496,1771,nan
1639215800.6473513,1781,nan
1639215804.9231298,1791,nan
1639215809.0773013,1801,nan
1639215813.177634,1811,nan
1639215817.4766603,1821,nan
1639215821.6404908,1831,nan
1639215825.7574878,1841,nan
1639215829.8714943,1851,nan
1639215834.2028265,1861,nan
1639215838.5207286,1871,nan
1639215842.8575306,1881,nan
1639215847.2617414,1891,nan
1639215851.4884546,1901,nan
1639215855.9730406,1911,nan
1639215860.048425,1921,nan
1639215864.5418847,1931,nan
1639215868.7696476,1941,nan
